Experiment,V100_TTA,V100_TRACEMALLOC,V100_TF_MEM
53, 1574.0981346299328, 615788072, 5914434983
51, 2049.3565616607666, 615477571, 6050077440
48, 4206.123628377914, 615471135, 6054697728
45, 8202.69057393074, 615474963, 6056963840
42, 8566.486342191696, 615478513, 6053175040
33, 8228.209167480469, 615495763, 6051736567
25, 10819.990273952484, 615481548, 6056692992
0, 14854.278578042984, 615483030, 6114069504
53, 1562.7803795337677, 615789670, 5914434816
51, 2076.3055789470673, 615477334, 6051617536
48, 5009.750229597092, 615472589, 6059940608
45, 5666.852647066116, 615476977, 6051229696
42, 8228.776249170303, 615475708, 6051731200
33, 9960.500559091568, 615496982, 6051734784
25, 11545.577226400375, 615479697, 6060885248
0, 12850.00274181366, 615482413, 6119957760
53, 922.082524061203, 615788768, 5914435072
51, 2804.0733926296234, 615476813, 6051596800
48, 3152.438646554947, 615472343, 6059940608
45, 6254.605448722839, 615476407, 6052769536
42, 8028.37194442749, 615477482, 6051731200
33, 9919.217968702316, 615494947, 6051736576
25, 12606.859866380692, 615478396, 6056451584
0, 12941.961659669876, 615480947, 6114622208
53, 850.3407700061798, 615786886, 5914435143
51, 1750.6023790836334, 615478399, 6051800832
48, 4153.132919073105, 615473064, 6064641792
45, 6709.220759597092, 615476685, 6053632618
42, 8028.37194442749, 615477482, 6051731200
33, 9753.98123493781, 615485373, 6051736218
25, 12003.48371623893, 615480510, 6058662472
0, 14843.164152860641, 615479481, 6112056576
53, 1008.3620927333832, 615790963, 5914434816
51, 1950.690930366516, 615477867, 6051580416
48, 4973.109995603561, 615472164, 6059940608
45, 7222.648149490356, 615476966, 6052769792
42, 8028.37194442749, 615477482, 6051731200
33, 10521.768031358719, 615495984, 6051734784
25, 13018.35140800476, 615481472, 6060100864
0, 16451.53713130951, 615482164, 6118289152
